movie_title,release_date,month_released,rated,genre,runtime_minutes,belongs_to_collection,tagline,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer
An Officer and a Gentleman,1982-07-28,7,R,Drama,124.0,0,"Life gave him nothing, except the courage to win...and a woman to love.",6000000,129795554,129795554,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Poltergeist,1982-06-04,6,PG,Horror,114.0,1,They're here.,10700000,74706019,121706019,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Star Trek II: The Wrath of Khan,1982-06-03,6,PG,Action,113.0,1,At the end of the universe lies the beginning of vengeance.,12000000,78912963,95800000,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Gandhi,1982-11-30,12,PG,Biography,191.0,0,His triumph changed the world forever.,22000000,52767889,127767889,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tootsie,1982-12-16,12,PG,Comedy,116.0,0,What do you get when you cross a hopelessly straight starving actor with a dynamite red sequined dress? You get America's hottest new actress.,15000000,177200000,177200262,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tron,1982-07-09,7,PG,Action,96.0,1,A world inside the computer where man has never been.  Until now.,17000000,26918576,26919100,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Beastmaster,1982-08-20,8,PG,Action,118.0,1,"Born with the courage of an eagle, the strength of a black tiger, and the power of a god.",5000000,10751126,10751126,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Creepshow,1982-11-12,11,R,Comedy,120.0,1,The Most Fun You'll Ever Have... BEING SCARED!,8000000,20036244,20036244,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Cat People,1982-04-02,4,R,Fantasy,118.0,0,They are something more than lovers who are about to become something less than human.,12500000,7000000,21000000,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Firefox,1982-06-13,6,PG,Action,136.0,0,...the most devastating killing machine ever built... his job... steal it!,21000000,45785720,45785720,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
