month_released,rated,genre,runtime_minutes,belongs_to_collection,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer,non_dom_gross_usd,title_length,worldwide_roi,domestic_roi,non_dom_roi,success_level_ww
6,PG-13,Action,127.0,1,63000000,402523348,1045573035,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,643049687,13,15.59639738095238,5.389259492063492,9.207137888888889,2
9,R,Comedy,103.0,0,6900000,7961889,7961889,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18,0.15389695652173913,0.15389695652173913,-1.0,1
9,R,Crime,119.0,0,12500000,12281000,12643293,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,362293,12,0.01146344,-0.01752,-0.97101656,1
12,PG-13,Drama,118.0,0,11000000,9170214,9170214,7.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,-0.1663441818181818,-0.1663441818181818,-1.0,0
7,PG,Comedy,96.0,0,28000000,44101060,45147989,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1046929,11,0.6124281785714286,0.5750378571428572,-0.9626096785714285,1
11,PG-13,Comedy,125.0,0,25000000,219195051,441286003,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,222090952,14,16.65144012,7.76780204,7.88363808,2
8,PG-13,Action,130.0,1,44000000,183875760,353715317,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169839557,12,7.038984477272727,3.1789945454545454,2.859989931818182,2
12,PG-13,Crime,141.0,0,45000000,100768056,187995859,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87227803,17,3.1776857555555558,1.2392901333333333,0.9383956222222222,2
6,R,Drama,154.0,0,42000000,158340892,270340892,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112000000,8,5.4366879047619046,2.770021238095238,1.6666666666666667,2
6,PG-13,Action,130.0,0,85000000,50016394,137298489,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87282095,16,0.6152763411764706,-0.41157183529411767,0.026848176470588236,1
2,PG,Comedy,101.0,0,14600000,71097843,71112677,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14834,13,3.870731301369863,3.8697152739726026,-0.9989839726027397,2
12,PG-13,Drama,125.0,0,26000000,77324422,201324422,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,124000000,12,6.743247,1.9740162307692308,3.769230769230769,2
5,PG,Adventure,104.0,0,42000000,20844907,20844907,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-0.5036926904761905,-0.5036926904761905,-1.0,0
5,R,Action,113.0,0,65000000,84049211,255000000,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,170950789,11,2.923076923076923,0.2930647846153846,1.6300121384615385,2
7,R,Drama,121.0,0,7000000,40157856,40207064,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,49208,9,4.743866285714286,4.736836571428571,-0.9929702857142857,2
